"HOTEL_ID","HOTEL_NAME","HOTEL_RATING","NUNBER_RATING","TITLE_RATING","HOTEL_PRICE","HOTEL_PRICE_FREE","ROOM_TYPE","HOTEL_ADDRESS","HOTEL_LOCATION","HOTEL_DISTANCE","HOTEL_CONTENT","NUMBER_DAY","BED_TYPE","HOTEL_URL","HOTEL_IMAGE","HOTEL_PRICE_2"
"0","Lan Vy Hotel","10","37","Fabulous","23","18","Superior Double Room","97D Pham Ngoc Thach, Cần Thơ, Việt Nam ","Ninh Kiều","1.3 km from centre","Được thiết kế cho cả các chuyến du lịch nghỉ ngơi và công tác, Khách sạn Lan Vy tọa lạc tại vị trí lí tưởng ở Cái Khế; một trong những khu vực nổi tiếng của thành phố. Khách sạn nằm cách trung tâm thành phố 0.5Km và dễ dàng tiếp cận các địa điểm khác trong thành phố . Với những điểm du lịch chính của thành phố như Chợ Cái Khế, Công viên nước Cần Thơ, Công viên nước Cần Thơ khá gần, khách tham quan khi đến khách sạn đều rất hài lòng với vị trí này của khách sạn.

Khách sạn Lan Vy cũng đề xuất thêm rất nhiều thiết bị làm kì nghỉ của bạn ở Cần Thơ thêm tiện lợi. Khi nghỉ ngơi trong khách sạn tuyệt vời này, khách có thể tận hưởng dịch vụ phòng 24 giờ, miễn phí wifi tất cả các phòng, quầy lễ tân 24 giờ, wifi công cộng, bãi đậu xe.

Khách sạn đặc biệt có 65 phòng đẹp, nhiều phòng còn có tivi màn hình phẳng, internet không dây, internet không dây (miễn phí), máy điều hòa, dịch vụ báo thức. Bên cạnh đó, khách sạn còn gợi ý cho bạn những hoạt động vui chơi giải trí bảo đảm bạn luôn thấy hứng thú trong suốt kì nghỉ. Hãy khám phá sự hòa hợp giữa cung cách phục vụ chuyên nghiệp và vô số tiện nghi tối tân ở Khách sạn Lan Vy.","1 đêm, 1 người lớn","1 giường đôi","https://www.booking.com/hotel/vn/lan-vy-can-tho.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=107226708_296856280_0_1_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=1&highlighted_blocks=107226708_296856280_0_1_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=107226708_296856280_0_1_0__52500000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/0.jpg","Giá Cao"
"1","Amazon 1","8","301","Good","5","2","Bed in 4-Bed Dormitory Room","88/24 Lê Lai, An Phú, Ninh Kiều, Thành phố Cần Thơ, Việt Nam, 900000","Ninh Kiều","0.4 km from centre","Tọa lạc tại thành phố Cần Thơ, cách trung tâm thương mại Vincom Plaza Xuân Khánh trong vòng 1,5 km, Amazon 1 có dịch vụ nhận phòng/trả phòng cấp tốc, phòng nghỉ, sảnh khách chung, WiFi miễn phí và vườn. Khách sạn này có các phòng gia đình và sân hiên tắm nắng. Chỗ nghỉ còn có lễ tân 24 giờ, trung tâm dịch vụ doanh nhân và dịch vụ thu đổi ngoại tệ cho khách.

Tất cả phòng nghỉ của khách sạn đều được bố trí khu vực ghế ngồi. Tại Amazon 1, các phòng cũng được trang bị máy điều hòa và tủ để quần áo.

Chỗ nghỉ nằm trong bán kính 2 km từ Bến Ninh Kiều và 2,6 km từ trung tâm thương mại Vincom Plaza Hùng Vương. Sân bay gần nhất là sân bay quốc tế Cần Thơ, cách Amazon 1 khoảng 9 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.","1 đêm, 1 người lớn","1 giường tầng","https://www.booking.com/hotel/vn/amazon-1.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=354065205_270925770_1_0_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=2&highlighted_blocks=354065205_270925770_1_0_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=354065205_270925770_1_0_0__10350000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/1.jpg","Giá Thấp"
"2","VẠN LỘC HOTEL","8","342","Very good","15","10","Standard King Room","76 Dong Khoi Street, Cần Thơ, Việt Nam","Ninh Kiều","0.4 km from centre
","Bạn đủ điều kiện nhận giảm giá Genius tại VẠN LỘC HOTEL! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.

Tọa lạc tại thành phố Cần Thơ, cách Bến Ninh Kiều 800 m, VẠN LỘC HOTEL cung cấp chỗ nghỉ với quầy bar, chỗ đỗ xe riêng miễn phí, sảnh khách chung và khu vườn. Trong số các tiện nghi của chỗ nghỉ này có lễ tân 24 giờ, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên. Khách sạn cung cấp các phòng gia đình.

Tất cả phòng nghỉ của khách sạn đều có sân trong. Phòng nghỉ tại VẠN LỘC HOTEL có tủ quần áo, TV màn hình phẳng và phòng tắm riêng.

Chỗ nghỉ này còn có sân hiên tắm nắng.

VẠN LỘC HOTEL nằm trong bán kính 2,3 km từ trung tâm thương mại Vincom Plaza Hùng Vương và 2,7 km từ trung tâm thương mại Vincom Plaza Xuân Khánh. Sân bay gần nhất là sân bay quốc tế Cần Thơ, nằm trong bán kính 10 km từ khách sạn.","1 đêm, 1 người lớn","1 giường đôi lớn","https://www.booking.com/hotel/vn/van-loc.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=312248007_295577592_2_0_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=3&highlighted_blocks=312248007_295577592_2_0_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=312248007_295577592_2_0_0__35000000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/2.jpg","Giá Trung Bình"
"3","CALI HOTEL","8","285","Good","14","9","Standard King Room","46 Lương Định Của, Phường Cái Khế, , Cái Khế, Ninh Kiều, Thành phố Cần Thơ, Việt Nam, 900000","Ninh Kiều","1.3 km from centre
","Tọa lạc ở thành phố Cần Thơ, nằm trong bán kính 2,1 km từ Bến Ninh Kiều và 1,1 km từ trung tâm thương mại Vincom Plaza Hùng Vương, CALI HOTEL cung cấp chỗ nghỉ với sân hiên cũng như chỗ đỗ xe riêng miễn phí cho khách lái xe. Khách sạn 1 sao này có WiFi miễn phí, lễ tân 24 giờ và dịch vụ phòng. Chỗ nghỉ không gây dị ứng này cách siêu thị Lotte Mart Cần Thơ 3,1 km.

Phòng nghỉ tại khách sạn được trang bị máy điều hòa, truyền hình cáp màn hình phẳng, tủ lạnh, ấm đun nước, chậu rửa vệ sinh (bidet), máy sấy tóc và bàn làm việc. Mỗi phòng đều có tủ để quần áo và phòng tắm riêng.

CALI HOTEL cách trung tâm thương mại Vincom Plaza Xuân Khánh 3,6 km và cách Chợ Nổi Cái Răng 8 km. Sân bay gần nhất là sân bay quốc tế Cần Thơ, cách chỗ nghỉ 9 km.","1 đêm, 1 người lớn","1 giường đôi lớn","https://www.booking.com/hotel/vn/cali-can-tho1.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=457632501_189867899_2_0_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=4&highlighted_blocks=457632501_189867899_2_0_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=457632501_189867899_2_0_0__31900000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/3.jpg","Giá Trung Bình"
"4","Mekong Rose Hotel","8","81","Very good","11","6","Economy Double Room","59-61 Ly Hong Thanh, P. Cai Khe, Q. Ninh Kieu, Cái Khế, Cần Thơ","Ninh Kiều","1.4 km from centre
","Tọa lạc tại thành phố Cần Thơ, cách Bến Ninh Kiều 1,9 km và trung tâm thương mại Vincom Plaza Hùng Vương 700 m, Mekong Rose Hotel có sân hiên. Khách sạn 2 sao này còn có WiFi miễn phí, lễ tân 24 giờ và dịch vụ phòng. Khách sạn này có các phòng gia đình.

Tất cả phòng nghỉ tại khách sạn đều được trang bị ấm đun nước. Mỗi phòng nghỉ tại Mekong Rose Hotel cũng có máy điều hòa và TV màn hình phẳng.

Chỗ nghỉ phục vụ bữa sáng tự chọn hàng ngày.

Các điểm tham quan nổi tiếng gần khách sạn bao gồm Sân vận động Cần Thơ, Bảo tàng Cần Thơ và Cầu đi bộ Ninh Kiều. Sân bay gần nhất là sân bay quốc tế Cần Thơ, nằm trong bán kính 9 km từ khách sạn.","1 đêm, 1 người lớn","1 giường đôi","https://www.booking.com/hotel/vn/mekong-rose-ninh-kieu1.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=634205808_289804695_2_2_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=5&highlighted_blocks=634205808_289804695_2_2_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=634205808_289804695_2_2_0__25900000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/4.jpg","Giá Trung Bình"
"5","Van Phat Riverside Hotel","8","153","Very good","43","38","Superior Double or Twin Room","số 2 đường Nguyễn Văn Cừ (cồn Khương), phường Cái Khế, quận Ninh Kiều, thành phố Cần Thơ","Ninh Kiều","3.2 km from centre","Van Phat Riverside Hotel nằm trên một hòn đảo thanh bình gần Sông Mekong, chỉ cách trung tâm thành phố 1 km. Khách sạn có các phòng nghỉ sang trọng, hồ bơi ngoài trời và trung tâm thể dục. Quý khách có thể truy cập Wi-Fi miễn phí tại trung tâm dịch vụ doanh nhân.

Van Phat 1 Hotel cách Công viên Giải trí Mỹ Khánh 30 phút lái xe và Sân bay Cần Thơ 10 km. Ga tàu Cần Thơ và ngôi nhà cổ Bình Thủy đều nằm cách khách sạn 4 km. Chợ nổi Cái Răng cách đó 20 phút đi thuyền.

Các phòng tại Van Phat Riverside Hotel được trang bị máy lạnh toàn bộ, TV truyền hình cáp màn hình phẳng, minibar và khu vực tiếp khách thoải mái. Phòng tắm riêng đi kèm bồn tắm và tiện nghi vòi sen. Đồ vệ sinh cá nhân được cung cấp miễn phí.

Các tiện nghi giải trí bao gồm nhiều phòng karaoke. Quý khách còn có thể thư giãn với liệu pháp mát-xa hoặc trong phòng xông hơi khô.

Nhà hàng Thuy Ta phục vụ đủ loại món ăn Âu và Á. Quán bar cung cấp đồ uống giải khát. Dịch vụ ăn uống tại phòng cũng được đáp ứng.","1 đêm, 1 người lớn","Giường: 1 giường đôi hoặc 2 giường đơn","https://www.booking.com/hotel/vn/van-phat-riverside.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=59043702_201598840_0_1_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=6&highlighted_blocks=59043702_201598840_0_1_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=59043702_201598840_0_1_0__98208000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/5.jpg","Giá Cao"
"6","Kim Lan Hotel","8","344","Very good","24","19","Standard Double Room","138A Nguyen An Ninh , Cần Thơ, Việt Nam","Ninh Kiều","0.2 km from centre
","Nằm trong khoảng cách đi bộ đến Bến Ninh Kiều, Kim Lan Hotel cung cấp các phòng nghỉ giá cả phải chăng có Wi-Fi miễn phí và TV màn hình phẳng. Khách sạn có chỗ đỗ xe riêng miễn phí, nhà hàng và bàn đặt tour.

Các phòng gắn điều hoa tại khách sạn đều có ban công riêng nhìn ra Cầu Cần Thơ và nội thất bằng gỗ tối màu hiện đại. Du khách có thể sử dụng tủ lạnh và TV truyền hình cáp màn hình phẳng. Phòng tắm riêng đi kèm vòi sen nước nóng.

Du khách có thể khám phá thành phố Cần Thơ một cách dễ dàng với các dịch vụ cho thuê xe hơi, xe đạp và đặt vé có tại khách sạn. Két an toàn có tại lễ tân 24 giờ. Đội ngũ nhân viên tại đây có thể cung cấp dịch vụ trợ giúp đặc biệt và giặt là cho khách. Khách sạn cũng có thể sắp xếp các chuyến đi du lịch đến Đồng bằng sông Cửu Long.

Các món đặc sản Việt Nam được phục vụ tại nhà hàng của Hotel Kim Lan nằm ở Bến Ninh Kiều cung cấp tầm nhìn ra Sông Cần Thơ. Du khách có thể dùng bữa trong sự riêng tư ngay tại phòng nghỉ.

Tọa lạc tại khu thương mại của thành phố Cần Thơ, Hotel Kim Lan có kết nối dễ dàng tới Đồng bằng Sông Cửu Long. Chỗ nghỉ cách sân bay Cần Thơ 15 phút lái xe và cung cấp dịch vụ đưa/đón sân bay.","1 đêm, 1 người lớn","1 giường đôi lớn","https://www.booking.com/hotel/vn/kim-lan.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=27502803_161717226_0_0_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=7&highlighted_blocks=27502803_161717226_0_0_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=27502803_161717226_0_0_0__53800000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/6.jpg","Giá Cao"
"7","Hometravel Mekong Can Tho","9","317","Fabulous","9","4","Deluxe Bungalow with Garden View","178c Ong Tiem Bridge, Thanh My Area, Thuong Thanh Ward, Cai Rang District, Cần Thơ, Việt Nam, Cần","Cái Răng","6.3 km from centre
","Tọa lạc ở thành phố Cần Thơ, Hometravel Mekong Can Tho có nhà hàng, xe đạp cho khách sử dụng miễn phí, quán bar và khu vườn. Resort này có các phòng gia đình và sân hiên. Tại đây cũng có lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.

Phòng nghỉ của resort được trang bị tủ quần áo.

Hometravel Mekong Can Tho phục vụ bữa sáng kiểu lục địa hoặc à la carte.

Khách lưu trú tại đây có thể tham gia các hoạt động trong và quanh thành phố Cần Thơ, như đi xe đạp và câu cá.

Hometravel Mekong Can Tho nằm cách trung tâm thương mại Vincom Plaza Xuân Khánh 8 km và Chợ nổi Cái Răng 6 km. Sân bay gần nhất là sân bay quốc tế Cần Thơ, cách resort 13 km.","1 đêm, 1 người lớn","2 giường (1 giường đơn, 1 giường đôi lớn)","https://www.booking.com/hotel/vn/hometravel-mekong-can-tho.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=359821109_132127244_2_1_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=8&highlighted_blocks=359821109_132127244_2_1_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=359821109_132127244_2_1_0__20999999&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/7.jpg","Giá Thấp"
"8","Khách sạn Amy Cần Thơ","7","144","Good","15","10","Twin Room","134/12 Trần Phú, P. Cái Khế, Q. Ninh Kiều, TP. Cần Thơ, Cần Thơ, Việt Nam","Ninh Kiều","1.7 km from centre","Tọa lạc tại thành phố Cần Thơ, cách trung tâm thương mại Vincom Plaza Hùng Vương chưa đầy 1 km, Khách sạn Amy Cần Thơ có chỗ nghỉ gắn máy điều hòa và sảnh khách chung. Tất cả phòng nghỉ tại đây đều được trang bị truyền hình cáp màn hình phẳng và phòng tắm riêng. Khách sạn cung cấp các phòng gia đình.

Phòng nghỉ của khách sạn có tủ lạnh.

Khách sạn nằm cách Bến Ninh Kiều 2,2 km và siêu thị Lotte Mart Cần Thơ 2,9 km. Sân bay gần nhất là sân bay quốc tế Cần Thơ, nằm trong bán kính 9 km từ Khách sạn Amy Cần Thơ.","1 đêm, 1 người lớn","2 giường đơn","https://www.booking.com/hotel/vn/khach-san-vu-anh-2.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=504212110_335373497_2_0_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=9&highlighted_blocks=504212110_335373497_2_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=504212110_335373497_2_0_0__35200000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/8.jpg","Giá Trung Bình"
"9","Anh Dao Mekong 2 Hotel","8","100","Very good","30","25","Standard Double Room","8 Xuân Thủy, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Ninh Kiều","3.7 km from centre","Với khách du lịch muốn ngắm cảnh và cảm nhận Cần Thơ, Anh Dao Mekong 2 Hotel là sự lựa chọn hoàn hảo. Từ đây, khách có thể dễ dàng tiếp cận được nét đẹp sống động của thành phố ở mọi góc cạnh. Với vị trí thuận lợi, khách sạn dễ dàng tiếp cận những điểm tham quan du lịch nổi tiếng của thành phố.

Tại Anh Dao Mekong 2 Hotel, mọi sự cố gắng đều nhằm mục đích khiến cho du khách hài lòng. Để làm được điều đó, khách sạn sẽ cung cấp dịch vụ và tiện nghi tốt nhất. Khách sạn đem đến sự tiếp cận hàng loạt dịch vụ như miễn phí wifi tất cả các phòng, quầy lễ tân 24 giờ, tiện nghi cho người khuyết tật, nhận/trả phòng nhanh, giữ hành lý.

Hãy trải nghiệm qua các thiết bị phòng chất lượng cao cấp trong suốt thời gian bạn lưu lại. Một số phòng được trang bị tivi màn hình phẳng, thảm, cafe hòa tan miễn phí, trà miễn phí, lò sưởi, giúp cho bạn phục hồi sức khỏe sau một ngày dài. Danh sách phương tiện giải trí được trang bị ở khách sạn, bao gồm bồn tắm nước nóng, phòng sauna, hồ bơi ngoài trời, spa, massage. Dù cho lý do của bạn khi tham quan Cần Thơ là gì đi nữa, Anh Dao Mekong 2 Hotel là một nơi tuyệt vời cho chuyến nghỉ mát vui vẻ và thú vị.","1 đêm, 1 người lớn","1 giường đôi lớn","https://www.booking.com/hotel/vn/anh-dao-mekong-2.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=c508c9c7dac2c06f5894665110d37164&all_sr_blocks=163372901_190592367_1_1_0&checkin=2021-09-21&checkout=2021-09-22&dest_id=-3709910&dest_type=city&group_adults=1&group_children=0&hapos=10&highlighted_blocks=163372901_190592367_1_1_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=163372901_190592367_1_1_0__69300000&srepoch=1631863051&srpvid=e9d63345a15b000a&ucfs=1&from=searchresults;highlight_room=#hotelTmpl","KhachSan/image_hotel/9.jpg","Giá Cao"
